;roberta_com;DATE;SIGN;vaders
163;-0.6331885606050491;05-21-2014;aries;-0.854
164;0.9210781152360141;05-22-2014;aries;0.7579
165;-0.08611724293930786;05-23-2014;aries;0.1128
166;0.7357119442895055;05-24-2014;aries;0.8201
167;0.8050270574167371;05-25-2014;aries;0.9207
168;0.917131215051187;05-26-2014;aries;0.9114
169;-0.054467737674713135;05-27-2014;aries;0.6124
170;0.7238980627893247;05-28-2014;aries;0.9071
171;-0.2487778291106224;05-29-2014;aries;0.1655
172;-0.18719583375429116;05-30-2014;aries;0.5777
173;0.564323041588068;05-31-2014;aries;0.7612
174;-0.5069678127765656;06-01-2014;aries;0.6652
175;0.028020800830173543;06-02-2014;aries;0.7469
176;0.8028674703091383;06-03-2014;aries;0.8779
177;0.061767507300824365;06-04-2014;aries;0.7717
178;0.07512743771076202;06-05-2014;aries;0.6663
179;-0.7110241800546646;06-06-2014;aries;0.25
180;-0.17929128881044917;06-07-2014;aries;-0.7966
181;0.2647884301841259;06-08-2014;aries;-0.1531
182;-0.5724856108427048;06-09-2014;aries;-0.2263
183;-0.032496899366378784;06-10-2014;aries;0.5647
184;0.23402502292543786;06-11-2014;aries;0.7906
185;-0.1196209192276001;06-12-2014;aries;0.4939
186;0.25020746141672134;06-13-2014;aries;-0.0422
187;-0.6344072334468365;06-14-2014;aries;-0.6597
188;-0.42574467882514;06-15-2014;aries;0.3716
189;0.1758640438833263;06-16-2014;aries;0.4767
190;-0.022723421454429626;06-17-2014;aries;0.714
191;-0.27626577764749527;06-18-2014;aries;-0.6956
192;0.04881550371646881;06-19-2014;aries;-0.1355
193;0.12868467740325196;06-20-2014;aries;0.9042
194;-0.005523383617401123;06-21-2014;aries;0.6627
195;0.6413332242518663;06-22-2014;aries;0.9349
196;0.8808317147195339;06-23-2014;aries;0.8519
197;0.5573313646018505;06-24-2014;aries;0.7906
198;0.00443218674851577;06-25-2014;aries;0.5236
199;0.8542296411469579;06-26-2014;aries;-0.3595
200;0.809752362780273;06-27-2014;aries;0.9301
201;0.6481880098581314;06-28-2014;aries;0.8316
202;-0.5888663753867149;06-29-2014;aries;-0.9136
203;0.5344421789050102;06-30-2014;aries;0.9708
204;-0.28810346126556396;07-01-2014;aries;0.7096
205;0.46341661145786117;07-02-2014;aries;0.923
206;0.1530531346797943;07-03-2014;aries;0.4215
207;0.4869126193225384;07-04-2014;aries;0.5719
208;0.7620904021896422;07-05-2014;aries;0.9463
209;-0.444873183965683;07-06-2014;aries;0.7783
210;-0.19307510554790497;07-07-2014;aries;0.7269
211;0.6926743667572737;07-08-2014;aries;0.8122
212;0.6649819891899824;07-09-2014;aries;0.1027
213;-0.5619825012981892;07-10-2014;aries;-0.0935
214;-0.4530725721207347;07-11-2014;aries;0.5574
215;-0.1270587369799614;07-12-2014;aries;-0.2023
216;0.9403045631479472;07-13-2014;aries;0.8439
217;-0.3741394281387329;07-14-2014;aries;0.34
218;-0.3009666339715283;07-15-2014;aries;0.2263
219;0.33278341591358185;07-16-2014;aries;0.7845
220;0.07633525133132935;07-17-2014;aries;0.6652
221;0.782850912772119;07-18-2014;aries;0.9382
222;-0.3037879168987274;07-19-2014;aries;0.1779
223;0.7737679025158286;07-20-2014;aries;0.4939
224;0.3286803513765335;07-21-2014;aries;0.7717
225;0.8358022440224886;07-22-2014;aries;0.8297
226;0.9520781952887774;07-23-2014;aries;0.7783
227;0.7988380705937743;07-24-2014;aries;0.8225
228;0.7485525161027908;07-25-2014;aries;0.7783
229;0.9552924188319594;07-26-2014;aries;0.9243
230;-0.7101257992908359;07-27-2014;aries;0.4699
231;-0.007015645503997803;07-28-2014;aries;-0.2023
232;0.7376632392406464;07-29-2014;aries;0.4404
233;0.05046682059764862;07-30-2014;aries;0.121
234;0.15647878870368004;07-31-2014;aries;0.5423
235;0.9557912588777399;08-01-2014;aries;0.8208
236;0.863616288639605;08-02-2014;aries;0.8783
237;0.4783029705286026;08-03-2014;aries;0.25
238;0.8582120961509645;08-04-2014;aries;0.25
239;0.9600604911101982;08-05-2014;aries;0.7783
240;-0.40504885851754446;08-06-2014;aries;0.4215
241;0.4963136911392212;08-07-2014;aries;0.6114
242;0.2996719479560852;08-08-2014;aries;0.69
243;-0.1590154767036438;08-09-2014;aries;0.4595
244;-0.3845879441254106;08-10-2014;aries;-0.3291
245;0.8707840475253761;08-11-2014;aries;0.9325
246;0.5796182155609131;08-12-2014;aries;0.8834
247;-0.6709400899708271;08-13-2014;aries;0.7216
248;-0.3921276080386405;08-14-2014;aries;0.287
249;0.37235071510076523;08-15-2014;aries;0.7876
250;-0.3621539160196681;08-16-2014;aries;0.281
251;0.2719595730304718;08-17-2014;aries;0.2936
252;0.834088045405224;08-18-2014;aries;0.4404
253;-0.6200559101998806;08-19-2014;aries;0.6908
254;-0.1415710151195526;08-20-2014;aries;-0.5106
255;0.18444713205099106;08-21-2014;aries;0.128
256;0.9072552933357656;08-22-2014;aries;0.9552
257;0.9812534167431295;08-23-2014;aries;0.9714
258;-0.039000749588012695;08-24-2014;aries;0.4588
